,trial_num,episode_num,type,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,novelty_id,level,env_config
0,5,17,unknown-novelty,1.0,0.999999,0,nothing,0.17,0.0,2.0,{'length': 0.3}
0,5,18,unknown-novelty,1.0,0.999999,0,nothing,0.575,0.0,2.0,{'length': 0.3}
0,5,19,unknown-novelty,1.0,0.999999,0,nothing,0.17,0.0,2.0,{'length': 0.3}
0,5,5,known-novelty,1.0,0.999999,0,nothing,0.275,0.0,2.0,{'length': 0.3}
0,5,6,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,5,7,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,5,8,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,5,9,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,5,10,known-novelty,1.0,0.999999,0,nothing,0.995,0.0,2.0,{'length': 0.3}
0,5,11,known-novelty,1.0,0.999999,0,nothing,0.895,0.0,2.0,{'length': 0.3}
0,5,12,known-novelty,1.0,0.999999,0,nothing,0.97,0.0,2.0,{'length': 0.3}
0,5,13,known-novelty,1.0,0.999999,0,nothing,0.355,0.0,2.0,{'length': 0.3}
0,5,14,known-novelty,1.0,0.999999,0,nothing,0.975,0.0,2.0,{'length': 0.3}
0,5,15,known-novelty,1.0,0.999999,0,nothing,0.755,0.0,2.0,{'length': 0.3}
0,5,16,known-novelty,1.0,0.999999,0,nothing,0.375,0.0,2.0,{'length': 0.3}
0,5,17,known-novelty,1.0,0.999999,0,nothing,0.595,0.0,2.0,{'length': 0.3}
0,5,18,known-novelty,1.0,0.999999,0,nothing,0.35,0.0,2.0,{'length': 0.3}
0,5,19,known-novelty,1.0,0.999999,0,nothing,0.985,0.0,2.0,{'length': 0.3}
0,6,0,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,6,1,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,6,2,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,6,3,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,6,4,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,6,5,unknown-novelty,1.0,0.999999,0,nothing,0.265,0.0,2.0,{'length': 0.3}
0,6,6,unknown-novelty,1.0,0.999999,0,nothing,0.285,0.0,2.0,{'length': 0.3}
0,6,7,unknown-novelty,1.0,0.999999,0,nothing,0.58,0.0,2.0,{'length': 0.3}
0,6,8,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,6,9,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,6,10,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,6,11,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,6,12,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,6,13,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,6,14,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,6,15,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,6,16,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,6,17,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,6,18,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,6,19,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,6,5,known-novelty,1.0,0.999999,0,nothing,0.28,0.0,2.0,{'length': 0.3}
0,6,6,known-novelty,1.0,0.999999,0,nothing,0.415,0.0,2.0,{'length': 0.3}
0,6,7,known-novelty,1.0,0.999999,0,nothing,0.785,0.0,2.0,{'length': 0.3}
0,6,8,known-novelty,1.0,0.999999,0,nothing,0.605,0.0,2.0,{'length': 0.3}
